131,Vredepeel-Vredeweg,1674
133,Wijnandsrade-Opfergeltstraat,1675
235,Huijbergen-Vennekenstraat,1679
236,Eindhoven-Genovevalaan,1680
318,Philippine-Stelleweg,1684
433,Vlaardingen-Floreslaan,1687
437,Westmaas-Groeneweg,1688
441,Dordrecht-Frisostraat,1689
444,De Zilk-Vogelaarsdreef,1690
446,Den Haag-Bleriotlaan,1691
520,Amsterdam-Florapark,1694
633,Zegveld-Oude Meije,1699
636,Utrecht-de Jongweg,1700
639,Utrecht-Erzeijstraat,1701
728,,1704
929,Valthermond-Noorderdiep,1709
934,Kollumerwaard-Hooge Zuidwal,1710
937,Groningen-Europaweg,1711
136,Heerlen-Looierstraat,1676
137,Heerlen-Deken Nicolayestraat,1677
230,Biest Houtakker-Biestsestraat,1678
237,Eindhoven-Noordbrabantlaan,1681
240,Breda-Tilburgseweg,1682
241,Breda-Bastenakenstraat,1683
404,Den Haag-Rebecquestraat,1685
418,Rotterdam-Schiedamsevest,1686
447,Leiden-Willem de Zwijgerlaan,1692
448,Rotterdam-Bentinckplein,1693
537,Haarlem-Amsterdamsevaart,1695
538,Wieringerwerf-Medemblikkerweg,1696
544,Amsterdam-Bernhardplein,1697
545,Amsterdam-A10 west,1698
641,Breukelen-Snelweg,1702
722,Eibergen-Lintveldseweg,1703
738,Wekerom-Riemterdijk,1705
807,Hellendoorn-Luttenbergerweg,1706
818,Barsbeek-De Veenen,1707
918,Balk-Trophornsterweg,1708
741,Nijmegen-Graafseweg,1740
445,,2123